2018-05-17 13:53:04 INFO  TC001_VerifyLoginwithInvalidCredentials:30 - ===============Starting verifyLoginwithInvalidCredentials Test========================
 2018-05-17 13:53:06 INFO  Homepage:41 - Clicked on Sign In and Object is [[FirefoxDriver: firefox on XP (454279fa-d870-4083-9ee0-71e1e4735af7)] -> xpath: //a[@class='login']]
 2018-05-17 13:53:06 INFO  Homepage:43 - Entered Email address abcd@gmail.com and object is [[FirefoxDriver: firefox on XP (454279fa-d870-4083-9ee0-71e1e4735af7)] -> xpath: //*[@id='email']]
 2018-05-17 13:53:06 INFO  Homepage:45 - Entered passwrod pass1234 and object is [[FirefoxDriver: firefox on XP (454279fa-d870-4083-9ee0-71e1e4735af7)] -> xpath: //*[@id='passwd']]
 2018-05-17 13:53:07 INFO  Homepage:47 - Clicked on Submit button and object is [[FirefoxDriver: firefox on XP (454279fa-d870-4083-9ee0-71e1e4735af7)] -> xpath: //*[@id='SubmitLogin']]
 2018-05-17 13:53:08 INFO  TC001_VerifyLoginwithInvalidCredentials:35 - ===============Finished verifyLoginwithInvalidCredentials Test========================
 2018-05-17 13:59:52 INFO  TC001_VerifyLoginwithInvalidCredentials:30 - ===============Starting verifyLoginwithInvalidCredentials Test========================
 2018-05-17 13:59:55 INFO  Homepage:41 - Clicked on Sign In and Object is [[FirefoxDriver: firefox on XP (d21f8dca-cb1f-49c5-b7d1-59e39af5adb9)] -> xpath: //a[@class='login']]
 2018-05-17 13:59:55 INFO  Homepage:43 - Entered Email address abcd@gmail.com and object is [[FirefoxDriver: firefox on XP (d21f8dca-cb1f-49c5-b7d1-59e39af5adb9)] -> xpath: //*[@id='email']]
 2018-05-17 13:59:55 INFO  Homepage:45 - Entered passwrod pass1234 and object is [[FirefoxDriver: firefox on XP (d21f8dca-cb1f-49c5-b7d1-59e39af5adb9)] -> xpath: //*[@id='passwd']]
 2018-05-17 13:59:56 INFO  Homepage:47 - Clicked on Submit button and object is [[FirefoxDriver: firefox on XP (d21f8dca-cb1f-49c5-b7d1-59e39af5adb9)] -> xpath: //*[@id='SubmitLogin']]
 2018-05-17 13:59:56 INFO  Homepage:53 - error message is Authentication failed.
 2018-05-17 13:59:56 INFO  TC001_VerifyLoginwithInvalidCredentials:35 - ===============Finished verifyLoginwithInvalidCredentials Test========================
 2018-05-18 11:58:50 INFO  TC002_VerifySignUp:29 - ===============Starting verifySignup Test========================
 2018-05-18 14:41:52 INFO  TC002_VerifySignUp:29 - ===============Starting verifySignup Test========================
 2018-05-18 14:41:55 INFO  Signup:33 - Clicked on Sign In to start registration and Object is [[FirefoxDriver: firefox on XP (af0760b2-0c7d-4891-9207-cc4db39cbc12)] -> xpath: //a[@class='login']]
 2018-05-18 14:41:55 INFO  TC002_VerifySignUp:34 - ===============Finished verifySignup Test========================
 2018-05-18 14:42:32 INFO  TC002_VerifySignUp:29 - ===============Starting verifySignup Test========================
 2018-05-18 14:42:35 INFO  Signup:33 - Clicked on Sign In to start registration and Object is [[FirefoxDriver: firefox on XP (6f5c441e-8fef-4985-bd40-ff53a040c103)] -> xpath: //a[@class='login']]
 2018-05-18 14:42:35 INFO  TC002_VerifySignUp:34 - ===============Finished verifySignup Test========================
 2018-05-18 14:44:06 INFO  TC001_VerifyLoginwithInvalidCredentials:30 - ===============Starting verifyLoginwithInvalidCredentials Test========================
 2018-05-18 14:44:08 INFO  Homepage:42 - Clicked on Sign In and Object is [[FirefoxDriver: firefox on XP (794d7436-013f-42a6-9a45-43fbe96d06ce)] -> xpath: //a[@class='login']]
 2018-05-18 14:44:09 INFO  Homepage:44 - Entered Email address abcd@gmail.com and object is [[FirefoxDriver: firefox on XP (794d7436-013f-42a6-9a45-43fbe96d06ce)] -> xpath: //*[@id='email']]
 2018-05-18 14:44:09 INFO  Homepage:46 - Entered passwrod pass1234 and object is [[FirefoxDriver: firefox on XP (794d7436-013f-42a6-9a45-43fbe96d06ce)] -> xpath: //*[@id='passwd']]
 2018-05-18 14:44:10 INFO  Homepage:48 - Clicked on Submit button and object is [[FirefoxDriver: firefox on XP (794d7436-013f-42a6-9a45-43fbe96d06ce)] -> xpath: //*[@id='SubmitLogin']]
 2018-05-18 14:44:10 INFO  Homepage:54 - error message is Authentication failed.
 2018-05-18 14:44:10 INFO  TC001_VerifyLoginwithInvalidCredentials:35 - ===============Finished verifyLoginwithInvalidCredentials Test========================
 2018-05-18 14:44:11 INFO  TestBase:33 - Creating Object of firefox
 2018-05-18 14:44:15 INFO  TestBase:46 - navigating to http://automationpractice.com/index.php
 2018-05-18 14:44:27 INFO  TC002_VerifySignUp:29 - ===============Starting verifySignup Test========================
 2018-05-18 14:44:30 INFO  Signup:33 - Clicked on Sign In to start registration and Object is [[FirefoxDriver: firefox on XP (da208e3e-d7b2-4d62-9c00-cfd611c866cb)] -> xpath: //a[@class='login']]
 2018-05-18 14:44:31 INFO  TC002_VerifySignUp:34 - ===============Finished verifySignup Test========================
 2018-05-18 19:58:06 INFO  TC003_VerifyLoginwithdifferentRecords:32 - ===============Starting VerifyLoginwithdifferentRecords Test========================
 2018-05-18 19:58:08 INFO  Homepage:42 - Clicked on Sign In and Object is [[FirefoxDriver: firefox on XP (ac2b15bd-e44f-43b8-a8b6-44a6f2f7fd88)] -> xpath: //a[@class='login']]
 2018-05-18 19:58:09 INFO  Homepage:44 - Entered Email address automation@gmail.com and object is [[FirefoxDriver: firefox on XP (ac2b15bd-e44f-43b8-a8b6-44a6f2f7fd88)] -> xpath: //*[@id='email']]
 2018-05-18 19:58:09 INFO  Homepage:46 - Entered passwrod password and object is [[FirefoxDriver: firefox on XP (ac2b15bd-e44f-43b8-a8b6-44a6f2f7fd88)] -> xpath: //*[@id='passwd']]
 2018-05-18 19:58:10 INFO  Homepage:48 - Clicked on Submit button and object is [[FirefoxDriver: firefox on XP (ac2b15bd-e44f-43b8-a8b6-44a6f2f7fd88)] -> xpath: //*[@id='SubmitLogin']]
 2018-05-18 19:58:10 INFO  TC003_VerifyLoginwithdifferentRecords:36 - ===============Finished VerifyLoginwithdifferentRecords Test========================
 2018-05-19 13:06:30 INFO  TC003_VerifyLoginwithdifferentRecords:32 - ===============Starting VerifyLoginwithdifferentRecords Test========================
 2018-05-19 13:06:33 INFO  Homepage:42 - Clicked on Sign In and Object is [[FirefoxDriver: firefox on XP (6a157361-d669-4318-ac33-1dfdcf25edf2)] -> xpath: //a[@class='login']]
 2018-05-19 13:06:33 INFO  Homepage:44 - Entered Email address automation@gmail.com and object is [[FirefoxDriver: firefox on XP (6a157361-d669-4318-ac33-1dfdcf25edf2)] -> xpath: //*[@id='email']]
 2018-05-19 13:06:34 INFO  Homepage:46 - Entered passwrod password and object is [[FirefoxDriver: firefox on XP (6a157361-d669-4318-ac33-1dfdcf25edf2)] -> xpath: //*[@id='passwd']]
 2018-05-19 13:06:36 INFO  Homepage:48 - Clicked on Submit button and object is [[FirefoxDriver: firefox on XP (6a157361-d669-4318-ac33-1dfdcf25edf2)] -> xpath: //*[@id='SubmitLogin']]
 2018-05-19 13:06:36 INFO  TC003_VerifyLoginwithdifferentRecords:36 - ===============Finished VerifyLoginwithdifferentRecords Test========================
 2018-05-19 14:06:53 INFO  TC003_VerifyLoginwithdifferentRecords:38 - ===============Starting VerifyLoginwithdifferentRecords Test========================
 2018-05-19 14:06:56 INFO  Homepage:42 - Clicked on Sign In and Object is [[FirefoxDriver: firefox on XP (d4e0d36a-3925-4183-9c6e-5b7c64154ec3)] -> xpath: //a[@class='login']]
 2018-05-19 14:06:56 INFO  Homepage:44 - Entered Email address automation1@gmail.com and object is [[FirefoxDriver: firefox on XP (d4e0d36a-3925-4183-9c6e-5b7c64154ec3)] -> xpath: //*[@id='email']]
 2018-05-19 14:06:56 INFO  Homepage:46 - Entered passwrod password1 and object is [[FirefoxDriver: firefox on XP (d4e0d36a-3925-4183-9c6e-5b7c64154ec3)] -> xpath: //*[@id='passwd']]
 2018-05-19 14:06:57 INFO  Homepage:48 - Clicked on Submit button and object is [[FirefoxDriver: firefox on XP (d4e0d36a-3925-4183-9c6e-5b7c64154ec3)] -> xpath: //*[@id='SubmitLogin']]
 2018-05-19 14:06:57 INFO  TC003_VerifyLoginwithdifferentRecords:42 - ===============Finished VerifyLoginwithdifferentRecords Test========================
 2018-05-19 14:06:57 INFO  TC003_VerifyLoginwithdifferentRecords:38 - ===============Starting VerifyLoginwithdifferentRecords Test========================
 2018-05-19 14:06:59 INFO  Homepage:42 - Clicked on Sign In and Object is [[FirefoxDriver: firefox on XP (d4e0d36a-3925-4183-9c6e-5b7c64154ec3)] -> xpath: //a[@class='login']]
 2018-05-19 14:06:59 INFO  Homepage:44 - Entered Email address automation2@gmail.com and object is [[FirefoxDriver: firefox on XP (d4e0d36a-3925-4183-9c6e-5b7c64154ec3)] -> xpath: //*[@id='email']]
 2018-05-19 14:06:59 INFO  Homepage:46 - Entered passwrod password2 and object is [[FirefoxDriver: firefox on XP (d4e0d36a-3925-4183-9c6e-5b7c64154ec3)] -> xpath: //*[@id='passwd']]
 2018-05-19 14:07:00 INFO  Homepage:48 - Clicked on Submit button and object is [[FirefoxDriver: firefox on XP (d4e0d36a-3925-4183-9c6e-5b7c64154ec3)] -> xpath: //*[@id='SubmitLogin']]
 2018-05-19 14:07:00 INFO  TC003_VerifyLoginwithdifferentRecords:42 - ===============Finished VerifyLoginwithdifferentRecords Test========================
 2018-05-19 14:07:00 INFO  TC003_VerifyLoginwithdifferentRecords:38 - ===============Starting VerifyLoginwithdifferentRecords Test========================
 2018-05-19 14:07:02 INFO  Homepage:42 - Clicked on Sign In and Object is [[FirefoxDriver: firefox on XP (d4e0d36a-3925-4183-9c6e-5b7c64154ec3)] -> xpath: //a[@class='login']]
 2018-05-19 14:07:02 INFO  Homepage:44 - Entered Email address automation3@gmail.com and object is [[FirefoxDriver: firefox on XP (d4e0d36a-3925-4183-9c6e-5b7c64154ec3)] -> xpath: //*[@id='email']]
 2018-05-19 14:07:02 INFO  Homepage:46 - Entered passwrod password3 and object is [[FirefoxDriver: firefox on XP (d4e0d36a-3925-4183-9c6e-5b7c64154ec3)] -> xpath: //*[@id='passwd']]
 2018-05-19 14:07:04 INFO  Homepage:48 - Clicked on Submit button and object is [[FirefoxDriver: firefox on XP (d4e0d36a-3925-4183-9c6e-5b7c64154ec3)] -> xpath: //*[@id='SubmitLogin']]
 2018-05-19 14:07:04 INFO  TC003_VerifyLoginwithdifferentRecords:42 - ===============Finished VerifyLoginwithdifferentRecords Test========================
 2018-05-19 14:07:04 INFO  TC003_VerifyLoginwithdifferentRecords:38 - ===============Starting VerifyLoginwithdifferentRecords Test========================
 2018-05-19 14:07:05 INFO  Homepage:42 - Clicked on Sign In and Object is [[FirefoxDriver: firefox on XP (d4e0d36a-3925-4183-9c6e-5b7c64154ec3)] -> xpath: //a[@class='login']]
 2018-05-19 14:07:06 INFO  Homepage:44 - Entered Email address automation4@gmail.com and object is [[FirefoxDriver: firefox on XP (d4e0d36a-3925-4183-9c6e-5b7c64154ec3)] -> xpath: //*[@id='email']]
 2018-05-19 14:07:06 INFO  Homepage:46 - Entered passwrod password4 and object is [[FirefoxDriver: firefox on XP (d4e0d36a-3925-4183-9c6e-5b7c64154ec3)] -> xpath: //*[@id='passwd']]
 2018-05-19 14:07:07 INFO  Homepage:48 - Clicked on Submit button and object is [[FirefoxDriver: firefox on XP (d4e0d36a-3925-4183-9c6e-5b7c64154ec3)] -> xpath: //*[@id='SubmitLogin']]
 2018-05-19 14:07:07 INFO  TC003_VerifyLoginwithdifferentRecords:42 - ===============Finished VerifyLoginwithdifferentRecords Test========================
 2018-05-19 14:08:39 INFO  TC003_VerifyLoginwithdifferentRecords:38 - ===============Starting VerifyLoginwithdifferentRecords Test========================
